IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #KEYPOINTS ON VEHICLE, #MATCHED KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
0, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1370, 125, 0, 1.4822e-323, 0, 0
1, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1301, 118, 95, 1.87745e-322, 0, 6.95312e-310
2, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1361, 123, 88, 6.95312e-310, 2.3342e-312, 6.95312e-310
3, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1358, 120, 80, 0, 0, 2.14208e-317
4, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1333, 120, 90, 0, 0, 6.95312e-310
5, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1284, 113, 82, 0, 2.63127e-312, 6.95312e-310
6, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1322, 114, 79, -nan, 0, 6.95312e-310
7, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1366, 123, 85, 6.95312e-310, 0, 2.13996e-317
8, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1389, 111, 86, 0, 0, 2.11747e-317
9, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1339, 112, 82, 1.01856e-312, 0, 6.95312e-310
0, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, -460823792, 4, 0, 1.4822e-323, 0, 0
1, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 32766, 0, 0, 1.87745e-322, 0, 6.95312e-310
2, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 5, 1413892435, 0, 6.95312e-310, 2.3342e-312, 6.95312e-310
3, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 0, 0, 0, 0, 0, 2.14208e-317
4, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1514228545, 0, 0, 0, 0, 6.95312e-310
5, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 69, 0, 0, 0, 2.63127e-312, 6.95312e-310
6, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 0, -460823728, 0, -nan, 0, 6.95312e-310
7, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 0, 32766, 0, 6.95312e-310, 0, 2.13996e-317
8, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, -460823760, 4, 0, 0, 0, 2.11747e-317
9, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 32766, 0, 0, 1.01856e-312, 0, 6.95312e-310
0, SHITOMASI, ORB, MAT_BF, SEL_KNN, -460823792, 4, 0, 1.4822e-323, 0, 0
1, SHITOMASI, ORB, MAT_BF, SEL_KNN, 32766, 0, 0, 1.87745e-322, 0, 6.95312e-310
2, SHITOMASI, ORB, MAT_BF, SEL_KNN, 5, 1413892435, 0, 6.95312e-310, 2.3342e-312, 6.95312e-310
3, SHITOMASI, ORB, MAT_BF, SEL_KNN, 0, 0, 0, 0, 0, 2.14208e-317
4, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1514228545, 0, 0, 0, 0, 6.95312e-310
5, SHITOMASI, ORB, MAT_BF, SEL_KNN, 69, 0, 0, 0, 2.63127e-312, 6.95312e-310
