IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #KEYPOINTS ON VEHICLE, #DESCRIPTORS, #MATCHED KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
0, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1370, 125, 8000, 0, 24.4997, 1.71952, 0
1, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1301, 118, 7552, 95, 19.8715, 2.59605, 0.591832
2, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1361, 123, 7872, 88, 19.4682, 2.64224, 0.529777
3, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1358, 120, 7680, 80, 19.0849, 2.59996, 0.53935
4, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1333, 120, 7680, 90, 19.7287, 2.74374, 0.522601
5, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1284, 113, 7232, 82, 18.995, 2.78699, 0.515776
6, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1322, 114, 7296, 79, 18.4982, 2.64678, 0.561897
7, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1366, 123, 7872, 85, 18.9374, 3.32623, 0.511429
8, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1389, 111, 7104, 86, 18.9329, 3.01077, 0.518236
9, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1339, 112, 7168, 82, 19.5735, 2.52202, 0.477832
0, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1370, 125, 4000, 0, 17.9347, 2.02499, 0
1, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1301, 118, 3776, 115, 18.0212, 2.04024, 0.507551
2, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1361, 123, 3936, 111, 17.6559, 2.04547, 0.461052
3, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1358, 120, 3840, 104, 17.4885, 1.44031, 0.500415
4, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1333, 120, 3840, 101, 17.9843, 1.46142, 0.47358
5, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1284, 113, 3616, 102, 17.8096, 1.64153, 0.535622
6, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1322, 114, 3648, 102, 17.5258, 1.67801, 0.440379
7, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1366, 123, 3936, 100, 19.2585, 1.58371, 0.474739
8, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1389, 111, 3552, 109, 19.5389, 1.42121, 0.541769
9, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1339, 112, 3584, 100, 20.7855, 1.54557, 0.431233
0, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1370, 125, 4000, 0, 19.8186, 1.32926, 0
1, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1301, 118, 3776, 106, 22.3852, 0.976006, 0.531777
2, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1361, 123, 3936, 102, 18.8432, 0.991773, 0.580537
3, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1358, 120, 3840, 99, 20.6844, 1.18922, 0.560302
4, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1333, 120, 3840, 102, 20.0283, 0.992984, 0.553792
5, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1284, 113, 3616, 103, 20.6756, 0.989356, 0.526495
6, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1322, 114, 3648, 97, 19.8628, 1.26811, 0.500115
7, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1366, 123, 3936, 98, 20.3665, 1.05751, 0.528736
8, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1389, 111, 3552, 104, 20.3943, 1.011, 0.522635
9, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1339, 112, 3584, 97, 21.2581, 1.16982, 0.479158
0, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1370, 125, 8000, 0, 19.5108, 54.5525, 0
1, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1301, 118, 7552, 86, 19.2614, 50.0891, 0.523237
2, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1361, 123, 7872, 90, 13.42, 47.637, 0.563386
3, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1358, 120, 7680, 86, 12.6774, 51.3333, 0.603521
