ALGO COMBO, #KEYPOINTS, #KEYPOINTS ON VEHICLE, #DESCRIPTORS, #MATCHED KEYPOINTS, DETECTOR & DESCRIPTOR TIME(ms), TOTAL TIME ELAPSED(ms)
SHITOMASI+BRISK, 13423, 1179, 75456, 767, 224.184, 1258.95
SHITOMASI+BRIEF, 13423, 1179, 37728, 944, 200.885, 1092.15
SHITOMASI+ORB, 13423, 1179, 37728, 908, 215.292, 1186.8
SHITOMASI+FREAK, 13423, 1179, 75456, 768, 648.262, 3628.82
SHITOMASI+SIFT, 13423, 1179, 150912, 927, 345.826, 1913.02
HARRIS+BRISK, 1737, 248, 15872, 142, 173.661, 905.608
HARRIS+BRIEF, 1737, 248, 7936, 173, 167.528, 884.861
HARRIS+ORB, 1737, 248, 7936, 162, 177.636, 938.225
HARRIS+FREAK, 1737, 248, 15872, 144, 658.773, 3552.63
HARRIS+SIFT, 1737, 248, 31744, 163, 346.98, 1854.71
FAST+BRISK, 17874, 1491, 95424, 899, 34.8963, 206.295
FAST+BRIEF, 17874, 1491, 47712, 1099, 19.6583, 116.758
FAST+ORB, 17874, 1491, 47712, 1071, 22.1472, 128.219
FAST+FREAK, 17874, 1491, 95424, 878, 532.798, 2945.65
FAST+SIFT, 17874, 1491, 190848, 1046, 339, 1841.89
BRISK+BRISK, 27116, 2762, 176768, 1570, 517.705, 2870.6
BRISK+BRIEF, 27116, 2762, 88384, 1704, 493.556, 2754.17
BRISK+ORB, 27116, 2762, 88384, 1514, 538.139, 2984.75
BRISK+FREAK, 27116, 2762, 164032, 1524, 1000.74, 5534.56
BRISK+SIFT, 27116, 2762, 353536, 1646, 1174.22, 6563.78
ORB+BRISK, 5000, 1161, 68480, 751, 108.702, 611.683
ORB+BRIEF, 5000, 1161, 37152, 545, 97.5069, 539.106
ORB+ORB, 5000, 1161, 37152, 763, 142.137, 782.61
ORB+FREAK, 5000, 1161, 39680, 420, 588.445, 3231.43
ORB+SIFT, 5000, 1161, 148608, 763, 874.398, 4616.1
AKAZE+BRISK, 13429, 1670, 106880, 1215, 1207.93, 6644.78
AKAZE+BRIEF, 13429, 1670, 53440, 1266, 1239.98, 6710.97
AKAZE+ORB, 13429, 1670, 53440, 1182, 1229.72, 6790.82
AKAZE+FREAK, 13429, 1670, 106880, 1187, 1746.5, 9505.76
AKAZE+AKAZE, 13429, 1670, 101870, 1259, 2336.14, 12692.6
AKAZE+SIFT, 13429, 1670, 213760, 1270, 1636.79, 8822.25
SIFT+BRISK, 13862, 1386, 88640, 592, 1767.71, 9764.66
SIFT+BRIEF, 13862, 1386, 44352, 702, 1706.95, 9357.13
SIFT+FREAK, 13862, 1386, 87936, 593, 2214.17, 12202.5
SIFT+SIFT, 13862, 1386, 177408, 800, 2535.73, 14354.3
